mode,persona,run,self_role,final_response,seller_outcome,buyer_outcome,num_turns,deal_reached,deal_price
baseline,friendly,1,seller,ACCEPT,10,10,2,True,50
profiler,friendly,1,seller,ACCEPT,20,0,5,True,60
baseline,hardball,1,seller,ACCEPT,-4,24,7,True,36
profiler,hardball,1,seller,REJECT,0,0,10,False,None
baseline,neutral,1,seller,ACCEPT,-10,30,2,True,30
profiler,neutral,1,seller,ACCEPT,10,10,2,True,50
baseline,stalling,1,seller,ACCEPT,6,14,5,True,46
profiler,stalling,1,seller,ACCEPT,20,0,4,True,60
baseline,sycophant,1,seller,ACCEPT,10,10,2,True,50
profiler,sycophant,1,seller,ACCEPT,25,-5,5,True,65
